lat,lon,object_class,geometry
28.4844548,76.3689825,cooling_tower,POINT (76.3689825 28.4844548)
28.4917937,76.3552097,cooling_tower,POINT (76.3552097 28.4917937)
28.4918228,76.3532848,cooling_tower,POINT (76.3532848 28.4918228)
44.3170667,86.1623503,cooling_tower,POINT (86.1623503 44.3170667)
44.3162116,86.1645014,cooling_tower,POINT (86.16450140000001 44.3162116)
47.7893873,20.0708842,cooling_tower,POINT (20.0708842 47.7893873)
47.7880946,20.0722154,cooling_tower,POINT (20.0722154 47.7880946)
36.7263979,104.7653830,cooling_tower,POINT (104.765383 36.7263979)
36.7260249,104.7664155,cooling_tower,POINT (104.7664155 36.7260249)
36.7308198,104.7551780,cooling_tower,POINT (104.755178 36.7308198)
36.7256790,104.7674563,cooling_tower,POINT (104.7674563 36.725679)
36.7293346,104.7559057,cooling_tower,POINT (104.7559057 36.7293346)
36.7318500,104.7556852,cooling_tower,POINT (104.7556852 36.73185)
36.7297754,104.7546448,cooling_tower,POINT (104.7546448 36.7297754)
36.7267606,104.7643044,cooling_tower,POINT (104.7643044 36.7267606)
39.0636298,110.9229282,cooling_tower,POINT (110.9229282 39.0636298)
39.0642407,110.9242182,cooling_tower,POINT (110.9242182 39.0642407)
39.0640112,110.9712535,cooling_tower,POINT (110.9712535 39.0640112)
